old_child_id,uuid,new_child_id,reason,action
T-F0017-P1292,uuid:1866dc81-6e8e-4abf-aaa8-d0d429fd8d63,T-F0017-P1294,manual error,correct
T-F0022-P0360,uuid:592fa3f9-362b-4ae4-b8ff-f25c9429a103,T-F0023-P0360,manual error,correct
T-F0091-P0563,uuid:b1d88338-7554-4577-b34a-92fed826d846,T-F0091-P0562,manual error,correct
T-F0091-P0563,uuid:b1d88338-7554-4577-b34a-92fed826d846,T-F0091-P0562,manual error,correct
T-F0006-P0481,uuid:bb31fdbd-8cae-4aa5-9b28-7673d6b9bd92,T-R0006-P0481,manual error,correct
T-F0022-P0360,uuid:bc7a45b8-f374-48af-bdff-05e4397ecd07,T-F0023-P0360,manual error,correct
T-F0022-P0395,uuid:c8dc5ce4-714d-4f2d-ae46-01576afe512a,T-F0023-P0395,manual error,correct
T-F0022-P0360,uuid:dea9e7e0-8262-4b49-9258-5deac81a1ed8,T-F0023-P0360,manual error,correct
T-F0022-P0360,uuid:f6ce9a6b-be12-41c2-9317-2eeb8ae3d6ae,T-F0023-P0360,manual error,correct
T-F0006-P0052,uuid:010e7d1e-a114-4a69-89eb-835317471ea1,T-F0006-P0053,manual error,correct
T-F0006-P0126,uuid:02711fff-9ffe-49f9-8610-575ea4ba0267,T-F0006-P0123,manual error,correct
T-F0100-P0664,uuid:04d05521-8135-41d6-a68c-cce4cb49c7e1,T-F0100-P0464,manual error,correct
T-F0043-C1263,uuid:05691845-106d-4be8-b51b-961f9572b087,T-F0043-P1263,manual error,correct
T-F0087-C0510,uuid:05e1e698-2ec8-4bc6-8c81-cb8b41a65a6e,T-F0087-P0510,manual error,correct
